distortion_type,distortion_name,srocc_no_nss,srocc_with_nss,delta_srocc
1,Gaussian blur,0.9673467137547518,0.9683638505761557,0.001017136821403919
2,Lens blur,0.9511952457027717,0.9511869344396515,-8.311263120175383e-06
3,Motion blur,0.9668384468322394,0.9698913562532204,0.0030529094209810204
4,Color diffusion,0.942017350539405,0.9481693931303992,0.006152042590994111
5,Color shift,0.9240945090198766,0.9275092120011458,0.0034147029812692242
6,Color quantization,0.9113454772674784,0.9135969877415689,0.0022515104740905567
7,Color saturation 1,0.6840627281182712,0.6722334911755562,-0.011829236942714982
8,Color saturation 2,0.9663802045752535,0.9676706612007999,0.0012904566255463878
9,JPEG2000,0.9502328380403269,0.950959216432732,0.0007263783924050804
10,JPEG,0.9342845660903282,0.9377685017470485,0.0034839356567203383
11,White noise,0.9528009832586483,0.9551501826512928,0.002349199392644552
12,White noise CC,0.9589109156540716,0.9611143477377341,0.002203432083662471
13,Impulse noise,0.9049370408115718,0.9021889580749409,-0.0027480827366308525
14,Multiplicative noise,0.9651956422342111,0.9664984781518543,0.0013028359176432414
15,Denoise,0.9595871190684024,0.9633648308443714,0.0037777117759689727
16,Brighten,0.962704014034036,0.9636691278516373,0.0009651138176012264
17,Darken,0.932422408891458,0.9317024999082256,-0.0007199089832323757
18,Mean shift,0.8244440435689545,0.8300840580311579,0.005640014462203413
19,Jitter,0.9713320161202249,0.971869396123755,0.0005373800035300969
20,Non-eccentricity patch,0.8380591116762482,0.8281908268723979,-0.00986828480385038
21,Pixelate,0.9374261148023437,0.9351880875493687,-0.002238027252975061
22,Quantization,0.9295738413507372,0.9284315048343005,-0.0011423365164366928
23,Color block,0.49628533344026815,0.5226547111169266,0.02636937767665848
24,High sharpen,0.9561216239078075,0.9570445416312601,0.0009229177234525432
25,Contrast change,0.866006380253475,0.8722161793224105,0.006209799068935484
