distortion_type,distortion_name,n_samples,srocc,plcc
1,Gaussian blur,405,0.9683638505761557,0.9920336903182667
2,Lens blur,405,0.9511869344396515,0.9809390293203295
3,Motion blur,405,0.9698913562532204,0.9779779328444863
4,Color diffusion,405,0.9481693931303992,0.9770873594013042
5,Color shift,405,0.9275092120011458,0.9564025522006483
6,Color quantization,405,0.9135969877415689,0.9252695266648565
7,Color saturation 1,405,0.6722334911755562,0.7265096211910941
8,Color saturation 2,405,0.9676706612007999,0.9786226784748435
9,JPEG2000,405,0.950959216432732,0.9800542032133089
10,JPEG,405,0.9377685017470485,0.9848679492188832
11,White noise,405,0.9551501826512928,0.9534765720201469
12,White noise CC,405,0.9611143477377341,0.9685448849887086
13,Impulse noise,405,0.9021889580749409,0.9176605660105468
14,Multiplicative noise,405,0.9664984781518543,0.9701240452115188
15,Denoise,405,0.9633648308443714,0.9668416532085952
16,Brighten,405,0.9636691278516373,0.9740537787474837
17,Darken,405,0.9317024999082256,0.9715666955156664
18,Mean shift,405,0.8300840580311579,0.8552685751938013
19,Jitter,405,0.971869396123755,0.9855216762238634
20,Non-eccentricity patch,405,0.8281908268723979,0.8132137174514251
21,Pixelate,405,0.9351880875493687,0.9472602391344083
22,Quantization,405,0.9284315048343005,0.9329198398942818
23,Color block,405,0.5226547111169266,0.6270495157516013
24,High sharpen,405,0.9570445416312601,0.9675967383920533
25,Contrast change,405,0.8722161793224105,0.8585529146421297
