model,srocc_mean,srocc_std,plcc_mean,plcc_std,krocc_mean,krocc_std
NSS only,0.8091702348398246,0.005445100861843148,0.819239,0.00533473,0.6124393106988495,0.00460710459348532
CLIP-L only,0.8694568564175608,0.0016433274807401076,0.8959301,0.0037700562,0.686556745612841,0.0022376679268118114
CLIP-H only,0.8842109381037705,0.003979530238828866,0.9014808,0.0028379152,0.7033960834444147,0.004395075623812216
SigLIP only,0.8807685094934368,0.004466492783587455,0.90002745,0.0048072794,0.6994017192952475,0.005969483829846042
DINOv2 only,0.676793906441431,0.010543812284837336,0.71830744,0.007321793,0.4905627121232028,0.007232375679748206
LLaVA-feat only,0.7899059377153439,0.003986523415050489,0.8071637,0.015354414,0.5968411156609623,0.0040602546024912384
NSS + CLIP-H,0.9029286064689174,0.004297657904127089,0.9187654,0.0027693477,0.7296789016078595,0.0043200900347319824
NSS + SigLIP,0.9055953372534283,0.002772262197158647,0.9204006,0.0039396873,0.733232330396851,0.0038670494448321867
NSS + DINOv2,0.8228351695046126,0.004957510660109859,0.8416212,0.0051979297,0.6296062885201514,0.004104571801978446
NSS + LLaVA-feat,0.8711452379390137,0.0028621827711343157,0.88405025,0.005323023,0.6876823850229451,0.003964896080730421
SigLIP + CLIP-H + DINOv2,0.9015232603850419,0.003453982802104512,0.9187006,0.0027149387,0.7273190267485882,0.004406824162440288
NSS + SigLIP + CLIP-H,0.9136987551541557,0.0030072365764524183,0.9285986,0.0031018443,0.7447982243599787,0.004687262585988919
NSS + SigLIP + LLaVA-feat,0.9072928909327154,0.002814333461468698,0.9195964,0.0047556437,0.7359898709685314,0.004144532061413687
NSS + CLIP-H + LLaVA-feat,0.9059528253560698,0.0025583520157714877,0.9198038,0.002859973,0.7335284036668996,0.0032522374488954736
FULL: NSS + SigLIP + CLIP-H + DINOv2 + LLaVA-feat,0.9139908932224511,0.001465444427713464,0.92792857,0.002025753,0.7455235787444014,0.0026246770811118327
FULL+score: NSS + SigLIP + CLIP-H + DINOv2 + LLaVA-feat + LLaVA-score,0.9142156361153491,0.0025051396470314132,0.92829597,0.0015339177,0.7459007852466184,0.003868554276371176
